id,Title,compound,ESG_x,pred
8,China: WeChat Allegedly Censoring Users' Private Messages and Photos,0.0,1,1
17,"S. Korea: Consumers Criticism for Growing Safety Concerns about Wall Cracks Appearing in Daegu
Shinsegae Department Store",0.1531,1,1
37,"China, Ping An Life Insurance: CNY 60,000 of CIRC Penalty to Subsidiary's Beijing Branch for
Alleged Customer Fraud",-0.7783,1,1
40,"Tianjin, Ping An Bank: CNY 500,000 Penalty of CBRC to Subsidiary for Alleged Failure
to Perform Due Diligence in Pre-lending Investigation and Monitor Use of Funds",-0.743,1,1
47,"Qingdao, China: CNY 200,000 Penalty to Subsidiary Ping An Bank's Branch by
Regulator for Alleged Deficiencies in Bank Bill Operation",-0.4588,1,1
48,"Xiamen, China: CNY 250,000 Penalty to Subsidiary Ping An Bank's Branch by
Regulator for Alleged Deficiencies in Post Loan Management",-0.4588,1,1
56,"Ulyanovsk, Russia: Villagers Protest Against Cement Factory Construction Over Potential
Damage to Environment",-0.6369,1,1
60,"New York: Summary Judgement Granted in Favor of the Company in an Employee Lawsuit Alleging Discrimination
and Unpaid Wages
",0.4215,1,1
67,Alleged Environmental Violations in Mundra Port Project,-0.5267,1,1
75,"Australia: Recall of 132 Units of 2003 Models of Volkswagen Golf, Passat, and Transporter Vehicles due to Alleged Faulty Airbag Inflator; No Injuries Reported",-0.5423,1,1
76,Tennessee: UAW Lawsuit Filed with the NLRB Over Alleged Refusal to Create Workers' Bargaining Unit ,0.0516,1,1
87,"Brazil: Volkswagen Appointed An Expert to Investigate Allegations of Torture of Employees During Former Military
Government",-0.5994,1,1
98,"Poznan, Poland: Workers Protest over Hike in Wages and Benefit",0.25,1,1
102,Portugal: Strike over Proposal of Mandatory Saturday Shif,-0.0516,1,1
108,"S. Korea: Recall of 2,000 Volkswagen Vehicles for Faulty Transmission Gears, and Certain Audi Vehicles for Defective Takata Air Bags; No Injuries Reported",-0.6486,1,1
111,"Australia: Recall of 14 Passat and Five Arteon (2016-2018) Vehicles for Alleged Defective Panoramic Sunroofs; No
Injuries Reported
",-0.6249,1,1
119,"United States: Recall of Around 3,300 Audi A3 and RS3 2018 Models for Problems with Latching Pins; No Injuries
Reported",-0.2732,1,1
120,"New Jersey: Federal Judge Approved USD 8.65 Million Settlement for Alleging Concealment of Timing Chain Defect in
Volkswagen Vehicles; Appealed Settlement",0.1027,1,1
125,"Product Recall (Australia): 55 Units of Audi '8V' A3 Model Vehicles over Potential Improper Placement and Welding of
the Head Restraints to the Rear Seat Backrest; No Injuries Reported",-0.29600000000000004,1,1
126,"Product Recall (Australia): Certain Units of Porsche Cayenne E-Hybrid 9YA Vehicles over Potential Improper Fitting or
Mispositioning of Fuel Nozzle while Refueling Leading to Fuel Leakage into Tank System and Increased Risk of Fire
Hazard; No Injuries Reported.",-0.3612,1,1
134,"Florida: Lawsuit over Faulty Suspensions Causing Premature Degradation ""Tire Cupping"" of Tires on CC Model",-0.765,1,1
137,"Audi [Worldwide]: Recall of Approximately 1.16 Million Vehicles Including Models Audi A5 Cabriolet, A5 Sedan, Q5,
A6s, and A4 due to Faulty Electric Coolant Pumps that Could Overheat; No Injuries Reported; Additional Recall of
6,639 Units of Audi's A4, A5, A6 and Q6 Models in Russia; Putative Class Action Suit Filed
",-0.5423,1,1
140,"Product Recall (Japan): 20,945 Units of Vehicles Including Beetle Car with a 1.2-Liter Engine over Inadequate Length
of Electrical System Earth Cable Causing Potential Engine Stoppage; No Injuries Reported",-0.5994,1,1
149,"Audi: Recall of 139,249 Sedans over Faulty Sensor Potentially Preventing Front Passenger Airbag Deployment; No
Injuries Reported",-0.5574,1,1
158,"Audi: German Prosecutors Probe into Alleged Falsification of Documents for Approval to Export Vehicles to South
Korea",0.4767,1,1
161,"U.S. Immigration Detention Centers: Allegations of Poor Management, Inadequate Supervision, and Unsatisfactory Prison Services",-0.8909999999999999,1,1
165,"Trousdale Turner Correctional Facility, Tennessee: Certified Class Suit over Alleged Inadequate Medical Assistance for
Diabetic Detainees",-0.4019,1,1
169,"Cibola County Correctional Center, New Mexico: ACLU Petition for Medical Access",0.0,1,1
177,"Kansas, United States: Alleged Religious Discrimination in Detention Center",0.0772,1,1
181,Texas: Eden Detention Center,-0.3612,1,1
186, Sterlite moves SC for access to closed copper plant in Tuticorin. ,0.0,1,1
190, Vedanta moves SC for directions to pollution board on renewing copper plant licence,0.0,1,1
192, Anti-Sterlite protest: Notice to CBI on plea seeking probe into police firing,-0.5267,1,1
194, HC reserves orders on plea seeking quashing of clearance for Vedanta plant,0.0,1,1
200, Odisha Mining Corp gets forest clearance to develop new bauxite mine in Kodingamali. ,0.0,1,1
201," Why the World’s Largest Sovereign Wealth Fund is Leaving Indian Companies in the Cold and What That Tells Us About
Make in India",0.4939,1,0
202,Deal sparks hopes for Vedanta's Lanjigarh plant ,0.4215,1,1
220,Hydrocarbon project: Shops down shutters.,0.0,1,1
223,One dead in suspected gas leak at Bokaro ESL plant,-0.8225,1,1
231,Mining company admits workplace safety charge over Mt Lyell workers' deaths,0.6124,1,1
236," Axe falls on Mt Lyell copper mine on Tasmania’s West Coast, with loss of 200 jobs",-0.4019,1,1
241,"Sesa Merger Was Tax Evasion Device by Agarwal, India Alleges",0.0,1,1
242, SC dismisses Vedanta’s plea against tax by Karnataka on iron ore sales ,0.0,1,1
258," Cops register FIRs against BJP, Cong, directors of 2 firms",0.0,1,1
260,"Fuzhou, China: Fuzhou R&D Center Employees Claimed Being Wrongfully Dismissed",0.0,1,1
270,"500,000 Online Storage Accounts Breached, User Files Deleted, Loaded with Indecent Content ",0.0,1,1
275,Baidu is named as one of the companies with problems of false advertisement,-0.4019,1,0
282, Ministry of Culture Investigated 27 Websites Over Alleged Vulgar Content. ,0.0,1,1
285,Credit Suisse among banks probed on in selling about $2 billion of bonds for Mozambique.,0.3818,1,0
292,Master Settlement Reached in Mesh Litigation,-0.1027,1,1
297,"Product liability
lawsuits had been consolidated in multi-district litigation (MDL 2326) in West Virginia",-0.4939,1,1
299,FDA Probes Safety of Vaginal Mesh Implants,0.4215,1,1
301,Boston Scientific Transvaginal Mesh Lawsuit Trial Ends With $100 Million Verdict,-0.0772,1,1
303,"Juries Rule Against Pelvic Mesh Makers J&J, Boston Scientific. ",0.0,1,1
304," BOSTON SCIENTIFIC: Faces 24,000+ Transvaginal Surgical Mesh Cases",0.0,1,1
306,"Boston Scientific ordered to pay $26.7million to four women after it is found liable for selling faulty transvaginal medical
devices that 'caused pain during sex'",-0.7184,1,1
309,Jury hands Boston Scientific $73.5M defeat in mesh case,-0.4588,1,1
321, Odisha's Fresh Move to Mine Niyamigiri Opposed,0.3182,1,1
325, Vedanta says no bauxite mining at Niyamgiri till local nod. ,-0.29600000000000004,1,1
329, TN govt opposes Sterlite plea to carry out maintenance work at Tuticorin plant. ,0.0,1,1
331,SC stops reopening of Sterlite Copper plant in Tuticorin,-0.1531,1,1
335,"Sterlite plant shut down: Days after Thoothukudi deaths, Tamil Nadu government orders closure of Vedanta group’s unit",0.0,1,1
347,Farmers resume stir against hydrocarbon extraction move,0.0,1,1
348,"Vedanta, ONGC get nod for oil exploration, Opposition criticises Centre",-0.1027,1,1
351, Announcement of a fatality following an accident at Skorpion Zinc ,-0.8225,1,1
353," Why the World’s Largest Sovereign Wealth Fund is Leaving Indian Companies in the Cold and What That Tells Us About
Make in India",0.4939,1,0
366,Two men killed at Tasmanian copper mine.,-0.6705,1,1
367,Top court to hear case alleging tax evasion as motive for Sesa Sterlite merger. ,0.2023,1,1
368, SC to hear plea against Sesa Goa-Sterlite merger in end-September,0.0,1,1
370,Foreign firms can now fund parties.,0.4019,1,1
372,"Cops register FIRs against BJP, Cong, directors of 2 firms",0.0,1,1
375,ARCTIC INDIGENOUS LEADERS TELL CARNIVAL CORPORATION: STOP POLLUTING THE ARCTIC. ,-0.29600000000000004,1,1
382, Vacationers on cruise ship stuck for 2 days in Tampa port.,-0.25,1,1
389,Coast Guard searches for man overboard from cruise ship.,0.0,1,1
396," Cruise Line Receives Kickbacks, Wolfe Suit Claims",0.0,1,1
398,Costa Concordia disaster: Italian court upholds captain's conviction,-0.6249,1,1
400,Three contractors pleaded guilty for the accident at HZMB working station.,-0.7096,1,1
403, Investigation report on 4·13 major accident in Dongguan. ,-0.4767,1,1
406,"Dongguan construction shed collapse, six workers trapped and six other rescued. ",-0.5859,1,1
414,Locals concern about environmental & land impacts and lack of public consultation over Chinese projects.,-0.3182,1,1
415," Seven killed, two injured as crane topples over.",-0.802,1,1
418,Stone quarry firm ordered to follow rules.,0.0,1,1
421,Arbitrator grants some protective relief for Centerra in ongoing Kyrgyz legal saga,0.6705,1,1
428, Gold mining firm told to improve dialogue in Mongolia. ,0.4404,1,1
432, Gold mining firm told to improve dialogue in Mongolia. ,0.4404,1,1
439,Centerra Gold Inc. must be punished if violations proven - Minister. ,-0.7506,1,1
447,CJ Logistics workers staged a week full strik,0.0,1,1
453,A delivery man killed for over time. ,-0.6705,1,1
468, STXNEWS LATAM-Agency alleges CSN hid toxic elements in worker compound,-0.1027,1,1
480,State-owned Coal India set to shut down high-risk mines,0.0,1,1
484, HC asks DGMS to verify actual death toll,-0.5994,1,1
486, CPI demands arrest of Lalmatia culprits,-0.34,1,1
508,Coal lust lowers heat of fiery flames for Jharia settlers,-0.4404,1,1
513,Talcher Coalfield mines shut down for locals stir,0.0,1,1
535,Kaniha coal mine paralysed for five days. ,0.0,1,1
537,West Burdwan: Two workers die after chunk of roof collapses in colliery,-0.7269,1,1
546,"Nexen given $750,000 in fines for 2015 pipeline spill near Fort McMurray.",0.0,1,1
547,Alberta energy regulator charges Nexen over 2015 pipeline spill,0.0,1,1
553,Alberta regulator lets Nexen reopen some Long Lake pipelines.,0.0,1,1
555,"Regulator in Canada's Alberta shuts in 95 Nexen pipelines over ""noncompliance""",0.0,1,1
558,How a Chinese Company Slipped on Canada's Oil Sands,0.0,1,1
560," Nexen Energy pipeline in Alberta began leaking between June 29 and July 15, company says",0.2732,1,1
563,Dead duck found at Alberta site of Nexen pipeline spill.,-0.6486,1,1
569,"Nexen apologizes for oil sands pipeline spill, cause unknown. ",0.3612,1,1
572, Energy regulator investigating pipeline spill at Long Lake.,0.2732,1,1
573,Nexen Energy pleads not guilty in oilsands explosion that killed two workers,-0.2658,1,1
585,"Texas suburb ends contract with immigrant detention centre ; Texas suburb ends contract with immigrant detention
centre. ",-0.6124,1,1
586," US: Poor Medical Care, Deaths, in Immigrant Detention",-0.34,1,1
587, CORECIVIC: Sued for Violating Anti-Human Trafficking Law,-0.5423,1,1
589,National Immigrant Justice Center Issues Statement on Indiana Immigration Prison Proposal.,0.0258,1,1
592,CORECIVIC: Attorney Seeks to Probe Detention Center Conditions,-0.3612,1,1
598," Fleeing violence, finding detention: One family’s year in US lock-up",-0.765,1,0
607,"CORECIVIC: ""Dodson"" Suit Asks Court to Certify Diabetics Class",0.0,1,1
613,"Immigrant Rights Advocates Secure Release of Asylum Seeker Separated from Son and Held in Immigration Jail for Nearly
Two Years. ",0.34,1,1
614,ACLU Petitions Court to Release Detainee for Critical Medical Treatment,-0.3182,1,1
615," Lawsuit: Former Leavenworth prison guard filed complaints, threatened with dead rat. ",-0.9349,1,1
619,New NIJC Report Exposes Rampant Due Process Violations at New Mexico Immigration Prison. ,-0.802,1,1
620,APNewsBreak: Prison group faces lawsuit over immigrant wages. ,-0.6369,1,1
625," Guard called Muslim headscarf a 'rag,' Kansas prison discriminates, rights group says",-0.5106,1,1
627,: CORECIVIC OF TENNESSEE: Bid to Intervene in Gonzalez Suit Denied,-0.4404,1,1
634, Feds Ending Five Private Prison Contracts in Texas,-0.5106,1,1
636,Collective Complaints from Owners Saying Country Garden has Dug a Five Star Pit for Them,-0.4019,1,1
643,Domino's new pay deal derailed over failure to bargain in good faith,0.1027,1,1
644,Fair Work terminates Domino’s worker agreements.,0.5267,1,1
650,Suspended Philippine nickel miner plans to restart in policy test,-0.4767,1,1
653,DMCI may shut nickel mining operations,0.0,1,1
655,House to probe DMCI's coal-fired power plant in Palawan,0.0,1,1
660,Philippines: IP community deals with violence and deaths after declining to give consent to the operations of a coffee plantation; some companies respond. (Business & Human Rights Resource Centre,-0.4939,1,1
674,Dish Network Can't Duck $61M Treble Damages In TCPA Row,-0.4404,1,1
678,Mexico supreme court to define Televisa status in pay-TV segment.,0.5574,1,1
680,"Televisa not dominant player in Mexican pay-TV, says watchdog",0.0,1,1
683,Mexico's Televisa faces bribery accusations in US court,-0.3182,1,1
685,"Televisa, Globo paid FIFA bribes for 2026/2030 World Cup rights -trial witness",0.0,1,1
700,More Equifax info exposed than originally disclosed after breach.,-0.14400000000000002,1,1
701,SCHATZ LEADS GROUP OF 31 SENATORS IN DEMANDING ANSWERS ON REPORTS OF CFPB'S STALLED INVESTIGATION INTO EQUIFAX BREACH,-0.6329,1,1
703,Report That Mulvaney Pulled Back on CFPB's Equifax Investigation Is Alarming.,-0.128,1,1
705,Equifax Responds to Donnelly/Heller Call to Provide Servicemember-Specific Tools for Those Impacted by Data Breach.,0.0,1,1
708,"MDL 2800: Equifax Faces ""Kishel"" Suit over Consumer Data Breach.",0.0,1,1
712,DEADLINE LOOMS FOR EQUIFAX DATA BREACH VICTIMS,-0.4404,1,1
713,Equifax Canada seeks to regain trust in its security after major U.S. breach,0.6908,1,1
719,"EQUIFAX INC: Faces ""Whittington"" Suit in N.D. Georgia",0.0,1,1
724,EQUIFAX JUDGE PROVIDES UPDATES IN CLASS-ACTION BREACH SUIT.,0.0,1,1
726,EQUIFAX INC: Intends to Fight Data Breach Class Actions,-0.3818,1,1
730,EQUIFAX INC: Data Breach Class Actions May Be Consolidated,0.0,1,1
737,"EQUIFAX INC: Faces ""Christensen"" Suit over Data Breach",0.0,1,1
749,"New York, Illinois launch probes into Equifax cyber breach.",0.0,1,1
761,EQUIFAX INFORMATION: Davis Sues over Background Checks.,0.0,1,1
763,EXPERIAN INFORMATION: Court Amends Class Settlement Judgment.,0.0,1,1
766,EQUIFAX INFORMATION: Inscho Sues over Background Check,0.0,1,1
767,EQUIFAX INFORMATION: Gould Sues over Background Checks,0.0,1,1
771,"United States Courts Opinions: United States District Court Eastern District of Pennsylvania: CHRISTINA P. JOHNSON, Plaintiff, v. EQUIFAX INFORMATION SERVICES, LLC",0.6808,1,1
772,Privacy International files complaints against seven companies for wide-scale and systematic infringements of data protection law,-0.4019,1,1
774,Kroger employees file class action against Equifax over W-2 breach,0.0,1,1
804,Giving in to our wage demand will cost Eskom less than protest damages - unions,-0.3523,1,1
807,Eskom denies its live customer database has been exposed online - but the security specialist who found it disagrees.,-0.2263,1,1
808,Researcher reveals data leak at South Africa’s main electricity provider.,-0.34,1,1
812,"R659m Tegeta bill 'startling', but bosses gave order to pay - official.",-0.1531,1,1
813,"Eskom official instructed to make payment to Tegeta 'within 3 hours', State capture commission hears",0.0,1,1
816,"‘Illegal or not, Eskom has no right to reclaim R600m from us",0.2235,1,1
820,3 new Eskom executives face hearings over Trillian,0.0,1,1
825,Explosive forensic investigation exposes Koko’s shady deals – report,-0.128,1,1
833,FGV dismisses WSJ allegations,0.0,1,1
839,Clarification on Media Report,0.0,1,1
840,"FGV refers group president, CFO to domestic inquiry panel.",0.0,1,0
845,FERC Announcing Investigation into Energy Transfer’s Rover Pipeline.,0.2732,1,1
849,ETP project blocked in Ohio.,-0.2732,1,1
851,Bayou Bridge Pipeline to ask 5th Circuit if it can resume work,0.0,1,1
852,U.S. Judge Halts Construction of Controversial Louisiana Oil Pipeline,-0.2023,1,1
854,Bayou Bridge Pipeline company has Ohio project blocked,-0.2732,1,1
857,U.S. court dismisses Energy Transfer Partners lawsuit against Greenpeace,0.0516,1,1
861,Judge allows tribes to challenge Corps’ Dakota Access study,0.0772,1,1
870,Tribe says it's being left out of Dakota Access study,0.0,1,1
880,"In Victory for Standing Rock Sioux Tribe, Court Finds That Approval of Dakota Access Pipeline Violated the Law",-0.0772,1,1
881,"After storms, fights and months of delay, the Dakota Access Pipeline finally opens",-0.6124,1,1
888,"10 arrested, 2 injured as police clear Dakota Access protest camp",-0.6369,1,1
891,"Pipeline pressure; Dallas-based company sues in effort to finish project as activists, Sioux tribe protest it",-0.4939,1,1
893,Dozens of demonstrators arrested at North Dakota pipeline.,-0.4767,1,1
894,UPDATE 2-Canada-U.S. oil pipelines resume operations after activists halt flow,0.0,1,1
895,pipeline case set to be heard by DC court,0.0,1,1
906,:Occupying the Prairie: Tensions Rise as Tribes Move to Block a Pipeline,-0.6808,1,1
