id,Title,compound,ESG_x,pred
913,CSB Deploying to Site of Hot Work Incident that Injured Seven Workers in Texas,-0.4019,1,1
918,reported to have manipulated diesel car exhaust emissions.,-0.5859,1,1
919,"Many car brands emit more pollution than Volkswagen, report find",0.0,1,1
920,High emissions levels found in more car models in Germany.,0.0,1,1
921,Germany asks Opel for more information in Zafira emissions probe,0.0,1,1
924,Jurisdictions Disputes in Ignition Switch Suit Resolved,-0.1027,1,1
925,Attorney General Hunter Announces Settlement with General Motors over Defective Ignition Switch.,-0.4404,1,1
926,U.S. judge dismisses GM ignition switch criminal case.,-0.5267,1,1
931,GM Faces $1 Billion Reckoning in Disputed Ignition-Switch Settlement,-0.34,1,1
943,Government ends oversight of GM related to defective part,-0.4404,1,1
948,car's ignition switch not to blame in fatal crash.,-0.6327,1,1
955,ignition-switch compensation fund approves 121 fatality claims,-0.4215,1,1
957,DEATH TOLL REACHES 111,-0.5719,1,1
968,to recall 2.5m cars in China over faulty airbags,-0.3182,1,1
969,China urges foreign carmakers to take action on faulty air bag,-0.3182,1,1
970,Still Defending 9 Class Suits Over Takata Airbag,0.0,1,1
972,ix automakers to recall nearly 2.5 million US vehicles over Takata airbag,0.0,1,1
987,GM Korea refuses talks with union over R&D separation,0.0,1,1
990,GM Korea cancels news briefing as temporary workers storm venue.,-0.2263,1,1
993,"plant shutdown faces backlash, causes of losses questioned",-0.4767,1,1
995,"India exit leaves dealers, customers in a quandary",0.0,1,0
1000,GM says it will phase out cars without air bags. (Associated Press) 14 Apr 2016: Global NCAP Calls On GM To Urgently Address Zero Star Safety In Latin America,0.4215,1,1
1005,Parents file suit against GM after fatal accident involving Chevy Malib,-0.765,1,1
1006,Workers at General Motors' Ingersoll plant to vote for tentative agreement to end four-week strike,0.4019,1,1
1009,Striking GM workers face threat of production shift to Mexico ; Auto maker had already moved some Chevrolet Equinox output south ahead of walk off at Cami facility,-0.5267,1,1
1010,Autoworkers Go on Strike Against G.M. In Canada,-0.128,1,1
1011,UPDATE 1-GM will recall more than 3.3 mln vehicles in China - market regulator,0.0,1,1
1012,GM to recall about 1.2 million vehicles worldwide,0.0,1,1
1017,190 contractual workers lose jobs over hike demand.,-0.4939,1,1
1020,Court Dismisses Defective Sunroofs Suit,-0.4404,1,1
1027,How electric car & tech companies could be using child labour-mined cobalt from small-scale miners in Dem. Rep. of Congo; includes companies' comments. (Business & Human Rights Resource Centre,0.0,1,1
1028,Electric car companies still powering human rights abuses,-0.5574,1,1
1032,"State finds GM failed to address nooses, racial slurs at Toledo Transmission plant",-0.5106,1,1
1036,Seeks Dismissal of Blind Zone Alert Class Action,-0.128,1,1
1037,Car Owners Sue Over Defective Engine Oil System.,-0.4404,1,1
1045,Michigan Judge Upholds Emissions-Cheating Claims.,0.0,1,1
1047,GM denies allegations that it cheats on diesel emissions,-0.6808,1,1
1051,General Motors recalls some pickups and SUVs over brakes.,0.0,1,1
1053,Keyless cars causing dozens of deaths,0.0,1,1
1065,Financial authorities reviewing accounting practices of GM Korea.,0.0,1,1
1081,andrew cuomos tax epiphany,0.0,0,0
1084,a social justice mob takes montreal,0.5267,0,0
1090,gas everywhere but no way to ship it,-0.4215,0,1
1093,where residents pay buckets of money for water,-0.1027,0,1
1094,US efforts in niger have paid off commander says,0.0,0,0
1097,feeding babies in china is a booming business again,0.0,0,0
1102,photos a monster trucks big comeback,0.0,0,0
1103,game of thrones season 8 a song of ice and fire and disappointment,-0.6908,0,1
1109,dockworkers walk out of labor talks,0.0,1,0
1114,a manhattan couples custom living room,0.0,0,0
1115,brazilians denounce their leader but economists offer praise,0.6369,0,0
1116,corrections amplifications,0.0,0,0
1123,new barriers to replace aging border wall in california,0.0,0,0
1124,review the cruel and the kind,-0.1027,0,0
1125,saudi arabia russia close in on deal to lift oil output,0.0,0,0
1130,italy offers bank bailout despite past pledges,-0.1027,0,0
1132,US manufacturing pmi falls to nine month low,-0.2732,0,0
1143,nixon now more than ever,0.0,0,0
1144,local officials should greet the president,0.3182,0,0
1146,ism US nonmanufacturing activity kept expanding in march,0.0,0,0
1147,US government bonds edge higher before fed rate decision,0.0,0,0
1152,connecticut lawmakers reach preliminary budget deal,0.0258,0,0
1156,neverland revisited,0.0,0,0
1158,poll shows majority of new yorkers have low opinion of raises for state lawmakers,-0.2732,0,0
1165,army hopes new futures command will speed development acquisition,0.4215,0,0
1179,morgan stanley seeks to manage more of its clients wealth,0.4939,0,0
1181,on the ballot in nigeria how to manage oil money,0.0,0,0
1189,the treasury market is having a senior moment,0.2023,0,0
1199,merkel gets ultimatum on immigration challenge,0.0772,0,0
1206,a late 2017 tax plan could spell trouble for your 2018 paycheck,-0.4019,0,0
1213,france moves to lure bankers to paris after brexit,0.0,0,0
1217,equifax says data breach possibly affected 100 000 canadian consumers,-0.1531,1,1
1218,dollar remains in range on rising uncertainty,-0.34,0,0
1220,private sector added 227 000 jobs in october,0.0,0,1
1224,the chef who left his kitchen to keep off 200 pounds,0.0,0,0
1227,teen duo behind slik to present moneymaker at y combinator,0.0,0,0
1228,florida arizona and oklahoma hold primaries for midterms,0.0,0,0
1237,snap gets popped again,0.0,0,0
1238,senior aide to canadas trudeau resigns amid political storm,-0.3182,0,0
1243,the great brexit breakdown,0.6249,0,0
1244,bad forest management robs those green carbon banks,-0.7579,0,1
1256,companies tout tax benefits as earnings season begins,0.2732,0,0
1262,justice lawyer criticized by trump allies was never involved in russia probe,0.2263,0,0
1265,brooks koepka bryson dechambeau tie for early masters lead,0.0,0,0
1268,forest city to exit shopping center business in latest deals,0.0,0,0
1271,north korea to meet for talks with US south korean delegations in helsinki,0.0,0,0
1272,disney rehires guardians of the galaxy director james gunn,0.0,0,0
1273,measles cases continue to grow with 71 new cases,0.0,0,1
1276,real estate stocks in high demand as trade battle brews,-0.4767,0,0
1279,light and darkness and young adult books,-0.25,0,1
1282,little ladies victorian fashion dolls and the feminine ideal review an eras expectations in miniature,0.5267,0,0
1283,dont trust the chinese to make microchips for the military,-0.4023,0,0
1286,new york judges lawyers want ice officials out of courts,0.0772,0,0
1287,an alliance worth keeping,0.2263,0,0
1293,US government bond prices edge higher amid stock selloff respite,0.0,0,0
1296,platinum sinks to near decade low after threat of auto tariffs,-0.6705,0,0
1301,felony charge against oil deal lawyer dismissed,-0.5423,0,1
1318,trump should give thanks not take credit for economic growth,0.5132,0,0
1322,russia blames israel for military plane shot down over syria,-0.4019,0,0
1335,iran tests ballistic missile amid US tensions,-0.4019,0,0
1336,dallas police chief fires officer involved in fatal shooting,-0.5423,0,0
1338,guggenheim partners spins out 13 billion unit to executive following lawsuit,-0.2263,0,1
1348,no wynn situation looks a no win for investors,0.1027,0,1
1355,guggenheim partners asset management unit is under sec investigation sources say,0.3612,1,1
1357,software robots power surging values for three little known startups,0.4019,0,0
1358,migrants rescued by cargo ship refuse to get off in libya,0.1531,0,1
1367,the portuguese kid review a comedy of bad manners,-0.25,0,0
1373,italys elections appear to have yielded a hung parliament exit polls,0.0,0,0
1374,mueller report reveals extent of trumps involvement in russia tower plans,0.0,0,0
1382,oil falls on increasing supply,0.0,0,0
1387,US trade panel backs solar tariffs,-0.0516,0,0
1388,merkels stingy tax reform,-0.3818,0,0
1400,killings shake south africas ruling party ahead of leadership contest,-0.5423,0,0
1406,treasury secretary steven mnuchin gop tax plan would more than offset its cost,0.2023,0,0
1408,in ncaa championship beware of free range big men,0.7351,0,0
1409,US imposes embargo on arms to south sudan,-0.1027,0,0
1412,new york lawmakers to vet interim attorney general candidates,0.0,0,0
1414,review all stars in the kitchen,0.0,0,0
1417,french antigovernment protesters march for ninth straight weekend,0.0,0,1
1427,to break into the grammys netflix went old school vinyl,0.0,0,0
1429,gold edges down after US jobs report,0.0,0,0
1437,madison avenue veteran mark penn is in talks to be ceo of mdc partners,0.0,0,0
1439,djs get into streaming revenue mix,0.0,0,0
1446,house passes bill to impose new sanctions on russia,-0.29600000000000004,0,0
1447,nfl owners decline to change anthem policy,0.0,0,0
1454,chairman of alibaba affiliate ant financial steps down,0.0,0,0
1457,occidental ceo says revised bid for anadarko was needed to win,0.5859,0,1
1476,mobile money heats up in india as google doubles down,0.0,0,0
1482,mark zuckerberg resolves to fix facebook in 2018,0.1779,0,0
1487,target expands plans to remodel existing stores,0.1027,0,1
1488,thousands gather for nypd officer miosotis familias funeral,-0.3612,0,0
1489,perfumania seeks bankruptcy protection,0.0,0,1
1501,fire up the flavor old school techniques for a tastier turkey,-0.34,0,0
1504,dry the starting tear for pess bankruptcy,0.0,0,0
1505,tillerson urges myanmar to end horrors against muslim minority,-0.5719,0,0
1507,nanae yamano thunder fan artist big in japan bigger in oklahoma city,0.3182,0,0
1513,trump vs a republican senate,0.0,0,0
1517,republicans democrats dispute white house view that campaign informant was improper,-0.4019,0,0
1518,judge dismisses stormy daniels defamation suit against trump,0.0,0,1
1519,exxon shell bp to join group to cut emissions from natural gas,0.3818,0,1
1520,a ruined hungarian palacerescued,-0.4767,0,0
1526,new cyberattack on cryptocurrency investors came from north korea report says,0.0,0,0
1533,a stately tudor with views of new york,0.0,0,0
1535,volkswagen vows to overtake tesla with worlds largest electric car fleet,0.0,0,0
1546,blue aprons bounce may cause indigestion,0.0,0,0
1550,arkema to ignite additional unstable chemicals at crosby texas plant,-0.3612,1,1
1551,prominent tech investor is leaving tiger global,0.3182,0,0
1555,goodbye nafta hello usmca musca aeumc yoUSmacka,0.0,0,0
1570,how a heated immigration debate might affect grandmas care,0.4939,0,0
1583,US dollar edges lower,-0.29600000000000004,0,0
1591,oil rises amid signs of falling saudi output,-0.1531,0,0
1593,the rodarte designers on their debut feature film,0.0,0,0
1615,underbug review termites and us,0.0,0,0
1617,is your stockpicker lucky or good,0.6908,0,0
1632,flush with ideas bill gates pursues the toilet of the future,0.0,0,0
1633,the return of 3 growth,0.3818,0,0
1634,why take two needs red dead to stay alive,-0.4019,0,0
1636,nordstrom reports weaker same store sales growth net sales increase,0.25,0,0
1657,french labor strikes pose a test to macrons overhauls,-0.3612,0,0
1662,era of peak tv continues with 487 scripted shows in 2017,0.0,0,0
1665,what is chinas leader thinking,0.0,0,0
1674,legal fund aiding trump associates raised 180 000 in second quarter,0.128,0,0
1685,prosecutors expand corruption investigation of college basketball,0.3182,0,1
1688,china sentences taiwan activist to five years,0.0516,0,1
1695,eus strict new privacy law is sending more ad money to google,0.0,0,0
1696,the chrysler buildings mark on new yorks skyline and pop culture,0.0,0,0
1697,dour growth outlook sends key european rate negative,-0.2732,0,0
1710,fox and comcast on collision course over big ten network,-0.3612,0,1
1712,supreme court takes split approach in latest trump travel ban ruling,0.0,0,0
1714,mideast US bloc spoiling for conflict with iran top diplomat says,-0.128,0,0
1728,UK government fires defense secretary gavin williamson over huawei leak,-0.2263,0,1
1729,murray energy opens debt talks with bondholders,-0.1027,0,0
1730,trump duterte strike up a friendship sidestep thorny issues,0.0772,0,0
1734,why im swapping my iphone for an alarm clock from 1939,-0.34,0,0
1735,if youre thinking about retiring in spain,0.0,0,0
1742,apple and the art of the buyback,0.0,0,0
1744,grapes of union wrath,0.0,0,1
1746,new york citys constraints on development less than other big cities,0.0,0,0
1750,copper ticks lower following wednesday surge,-0.29600000000000004,0,1
1758,apples china ties make it vulnerable if trade fight gets worse,-0.765,0,0
1761,facebook abandons plans to change share structure avoiding lawsuit,-0.5267,1,1
1763,nasa says goodbye to mars rover opportunity,0.4215,0,1
1771,match group rolls in the deep,0.0,0,0
1773,secs lone democratic member expected to step down in fall,-0.2732,0,0
1786,after strikes assad seeks to show normalcy,-0.3612,0,1
1788,lehmans lessons 10 years later,0.0,0,0
1804,summertime stock picks,0.0,0,0
1812,versum materials rejects mercks bid,-0.4939,0,1
1813,one year after vix blowup investors still feel sting of volatility bets,0.0,0,0
1814,buffett sees a lot to dislike in US companies,-0.3818,0,0
1816,five best aatish taseer on travels into the past,0.6369,0,0
1817,blogger charles johnson pursuing defamation claim against gawker,0.0,0,0
1820,the secret inside tiffanys blue box reed krakoff,0.0,0,0
1825,danger ahead for the eurozone,-0.5267,0,0
1826,trump widely disparaged abroad has lots of fans in venezuela,-0.34,0,0
1828,why no one wants to back the gun of the future,-0.5574,0,0
1832,abraaj founder scrambles as empire teeters,0.0,0,0
1833,glenn close shares a few of her favorite things,0.6369,0,0
1835,little reason to watch comcast and verizon,0.0,0,0
1843,first timeline new zealand shooter was active for more than 30 minutes,0.4019,0,0
1853,amazon effect sparks deals for software tracking firms,0.1779,0,1
1856,canadas china envoy questions US position in huawei case,0.0,0,0
1859,push to give felons the vote shifts to iowa and kentucky,0.0,0,0
1866,literature behind bars,0.0,0,0
1868,the exercise that helps mental health most,0.3818,0,0
1871,a guide to nashvilles chicest new neighborhood,0.0,0,0
1880,notre dam cathedral burns in paris,0.0,0,0
1885,congress to consider raising tobacco buying age to 21,0.0,0,0
1887,oil price forecasts fall but point to rises for first half of year,0.0,0,0
1896,morgan stanley gets its turn in the penalty box,-0.4588,1,0
1908,viewers pelosi applaud trump,0.4588,0,0
1909,alabama executes inmate after supreme court 5 4 refuses to intervene,0.5574,0,1
1917,more auto makers sued over exploding takata air bags,0.0,0,1
1919,mulvaney likely to stick around at the cfpb for a while,0.0,0,0
1924,uber granted new london license by UK court,0.3167,0,1
1939,utility sale could leave taxpayers with 4 billion of nuclear debt,-0.4019,0,0
1941,apples new ipad pro great tablet still cant replace your laptop,0.6249,0,0
1943,europes investment banks suffer american envy,-0.6808,0,0
1952,aegean marine wins court approval for bankruptcy financing,0.7783,0,0
1964,corrections amplifications,0.0,0,0
1966,oil climbs ahead of official US stockpile data,0.0,0,0
1971,icahn sues amtrust over deal to go private,0.0,0,1
1974,doj watchdog report does little to quelldissension over clinton email probe,0.0,0,1
1985,oil prices stabilize after trump tweet turmoil,-0.3612,0,0
1986,fortress hires deutsche hedge fund team amid legal complaint,-0.1779,0,0
1992,south koreas cryptocurrency crackdown isnt stopping this bitcoin exchanges launch,0.1139,0,0
1994,gold lower on eased US north korea tensions,-0.4019,0,0
1998,verizon dials up wireless revenue growth,0.3818,0,0
2024,silicon valleys favorite payments company cashes in,0.4588,0,0
2027,trump defends west wing turnover i like conflict,0.0516,0,0
2032,god save texas review a lone star state of mind,0.4939,0,0
2035,the controversial text that saved me,0.25,0,0
2038,trump administration proposes 4 4 trillion budget for fiscal 2019,0.0,0,0
2040,in plea deal flynn acknowledges working for turkish government,0.0,0,1
2044,mnuchin comments on brexit and debt ceiling at house hearing,-0.3612,0,0
2046,collagen a wrinkle cream staple catches on in foods,0.0,0,0
2047,sears still has its biggest fan,0.3182,0,0
2051,missouri senate passes bill to ban abortions at 8 weeks,-0.5574,0,0
2052,thats amour falling for a citroen deux chevaux,-0.1531,0,0
2061,trump backs letting military academy athletes go pro immediately,-0.0516,0,0
2082,feds beige book shows solid regional economic conditions,0.1531,0,0
2084,trump releases names of two service members returned from north korea,0.0,0,0
2088,the challenge for vanguards new ceo keep a behemoth growing,0.25,0,0
2094,next month the people vote on kavanaugh,0.0,0,0
2097,allergan that 15 billion sure went fast,0.3182,0,1
2103,religious and political leaders react to billy grahams death,-0.5994,0,0
2113,acting dea chief rebuts trumps remarks on police use of force,0.0,0,0
2119,slowing cigarette sales push altria to explore other opportunities,0.3818,0,0
2137,former new jersey governor brendan byrne dies,0.0,0,0
2143,for kraft heinz a chance for a fresh start,0.5106,0,0
